ms_Vx	ms_Vy	hdr_Vx	hdr_Vy	ms_res	hdr_res	d_Vx	d_Vy	d_res	d_relative_Vx	d_relative_Vy	d_relative_res
3.68207	-0.0151565	3.55773	0.028962	3.6821	3.55785	0.12434	-0.0441185	0.124254	3.49493	-152.332	3.49238
3.61475	-0.0035978	3.56778	0.033222	3.61476	3.56793	0.0469768	-0.0368198	0.0468239	1.3167	-110.83	1.31235
3.42192	0.019368	3.57518	0.036416	3.42197	3.57536	-0.153258	-0.017048	-0.153388	-4.28672	-46.8146	-4.29015
3.41716	0.0358574	3.57958	0.038215	3.41735	3.57978	-0.162418	-0.0023576	-0.162434	-4.53734	-6.16931	-4.53753
3.41714	0.0525717	3.58141	0.039233	3.41755	3.58162	-0.164268	0.0133387	-0.164079	-4.58669	33.9987	-4.58113
3.6579	0.0378017	3.58099	0.041018	3.6581	3.58123	0.0769067	-0.0032163	0.0768671	2.14763	-7.84119	2.14639
3.5454	-0.0341392	3.58114	0.04324	3.54556	3.5814	-0.0357453	-0.0773792	-0.035842	-0.998154	-178.953	-1.00078
3.59383	-0.0148326	3.58008	0.043293	3.59387	3.58034	0.0137568	-0.0581256	0.0135257	0.38426	-134.261	0.377776
3.55512	0.0429854	3.57523	0.043982	3.55538	3.5755	-0.0201092	-0.0009966	-0.0201199	-0.562458	-2.26593	-0.562714
3.4947	0.0013496	3.56943	0.045493	3.4947	3.56972	-0.0747271	-0.0441434	-0.0750167	-2.09353	-97.0334	-2.10148
3.69675	0.0971072	3.5635	0.048588	3.69803	3.56383	0.133252	0.0485192	0.134196	3.73936	99.8584	3.7655
3.52592	0.003514	3.55461	0.053988	3.52592	3.55502	-0.0286863	-0.050474	-0.0290945	-0.807017	-93.4911	-0.818407
3.48383	0.0081301	3.54102	0.05675	3.48384	3.54148	-0.0571884	-0.0486199	-0.0576336	-1.61503	-85.6738	-1.62739
3.42383	0.0588774	3.5253	0.0555	3.42434	3.52573	-0.101466	0.0033774	-0.101397	-2.87822	6.08541	-2.8759
3.50058	0.0744833	3.50896	0.052962	3.50137	3.50936	-0.0083756	0.0215213	-0.00798295	-0.238692	40.6354	-0.227476
3.39746	0.0472157	3.49365	0.052319	3.39779	3.49404	-0.0961881	-0.0051033	-0.0962518	-2.75322	-9.7542	-2.75474
3.24784	0.0760698	3.47883	0.052585	3.24873	3.47923	-0.23099	0.0234848	-0.230497	-6.63987	44.6606	-6.62494
3.27169	0.0211294	3.46058	0.050942	3.27175	3.46095	-0.188892	-0.0298126	-0.189199	-5.45841	-58.5226	-5.46668
3.26978	0.0393878	3.43726	0.048345	3.27001	3.4376	-0.167481	-0.0089572	-0.167584	-4.87251	-18.5277	-4.87502
3.22589	0.0582154	3.4127	0.046417	3.22641	3.41302	-0.186811	0.0117984	-0.186601	-5.47399	25.4183	-5.46735
3.24091	0.0315397	3.38893	0.044805	3.24107	3.38923	-0.148018	-0.0132653	-0.148161	-4.36769	-29.6067	-4.37152
3.24692	0.0835576	3.36678	0.043446	3.248	3.36706	-0.119855	0.0401116	-0.11906	-3.55993	92.3252	-3.53603
3.23374	-0.0011798	3.34615	0.042631	3.23374	3.34642	-0.112405	-0.0438108	-0.112677	-3.35924	-102.767	-3.36708
3.24953	0.0719228	3.32689	0.042253	3.25033	3.32716	-0.0773567	0.0296698	-0.0768292	-2.3252	70.2194	-2.30915
3.14219	0.0054521	3.30863	0.039516	3.1422	3.30887	-0.166442	-0.0340639	-0.166673	-5.03054	-86.2028	-5.03717
3.09549	0.0235682	3.2919	0.036172	3.09558	3.2921	-0.196406	-0.0126038	-0.196515	-5.96634	-34.8441	-5.96929
3.02451	-0.0054987	3.27661	0.033053	3.02452	3.27678	-0.252104	-0.0385517	-0.252265	-7.69403	-116.636	-7.69857
3.15293	0.0027918	3.26355	0.02998	3.15293	3.26369	-0.110625	-0.0271882	-0.110762	-3.38973	-90.6878	-3.39376
3.05523	-0.013232	3.25266	0.024928	3.05526	3.25276	-0.197431	-0.03816	-0.197497	-6.06982	-153.081	-6.0717
